name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Argentina,29091100.0,29623000.0,30045400.0,30477500.0,30911200.0,31345400.0,31780700.0,32333781.0,32757259.0,33174862.0,33585533.0,34010946.0,34407507.0,34785907.0,35162945.0,35550617.0,35918886.0,36315492.0,36733520.0,37158001.0,37578454.0,38015739.0,38441778.0,38859125.0,39276555.0
Austria,7231353.0,7299728.0,7375368.0,7433569.0,7462552.0,7477030.0,7493706.0,7512589.0,7533519.0,7561609.0,7592073.0,7634560.0,7683162.0,7722033.0,7773105.0,7827461.0,7869269.0,7897272.0,7925258.0,7946894.0,7968421.0,7995146.0,8031276.0,8079615.0,8141165.0
Belgium,9369700.0,9396600.0,9428100.0,9462900.0,9497400.0,9527100.0,9557545.0,9576223.0,9620997.0,9648277.0,9674025.0,9710055.0,9758570.0,9804122.0,9848022.0,9901014.0,9962702.0,10030266.0,10100850.0,10173366.0,10211171.0,10355126.0,10442637.0,10526149.0,10578848.0
Brazil,131387553.0,134281850.0,137007021.0,139615477.0,142188450.0,144783591.0,147353130.0,149932627.0,152524311.0,155122073.0,157715991.0,160178796.0,162761414.0,165396911.0,167993068.0,170483960.0,172974722.0,175293192.0,177471632.0,179569551.0,181629712.0,183656441.0,185591215.0,187458852.0,189285554.0
Bulgaria,8418500.0,8431900.0,8041500.0,8001000.0,7995500.0,7983900.0,7963300.0,7933900.0,7899500.0,7866600.0,7829095.0,7591926.0,7544410.0,7493166.0,7447563.0,7404051.0,7358508.0,7312474.0,7267511.0,7219817.0,7162740.0,7056527.0,6959652.0,6920644.0,6883874.0
Chile,11709000.0,11871000.0,12125000.0,12306400.0,12526600.0,12897643.0,13125089.0,13339550.0,13543940.0,13743882.0,13943575.0,14139590.0,14332840.0,14523758.0,14710993.0,14893574.0,15071596.0,15245435.0,15415661.0,15584149.0,15751851.0,15910783.0,16075247.0,16242244.0,16406867.0
Colombia,29930973.0,30584178.0,29615400.0,30242200.0,30874600.0,33090899.0,33703636.0,34338825.0,34987039.0,35629408.0,36252342.0,36884428.0,37478276.0,38044513.0,38604716.0,39172790.0,39708676.0,40275206.0,40859129.0,41436173.0,41989103.0,42538305.0,43055864.0,43546298.0,44021800.0
Costa Rica,2627800.0,2704000.0,2778400.0,2853700.0,2929100.0,3135200.0,3192446.0,3279559.0,3365726.0,3449923.0,3531421.0,3606850.0,3680372.0,3751871.0,3820857.0,3887096.0,3953916.0,4015241.0,4072561.0,4128459.0,4184663.0,4235514.0,4290210.0,4347229.0,4403674.0
Czech Republic,9710900.0,9667500.0,9681900.0,9703400.0,9723700.0,9744300.0,9763900.0,9786700.0,9808300.0,9819215.0,9819742.0,9838083.0,9752463.0,9748550.0,9746647.0,9761733.0,9780319.0,9818295.0,9899594.0,9937407.0,9945273.0,9906318.0,9923127.0,9936780.0,9963127.0
Ecuador,8800933.0,9091700.0,9253155.0,9488483.0,9725255.0,9960563.0,10195848.0,10427773.0,10656446.0,10883283.0,11109383.0,11328328.0,11548770.0,11771002.0,11994153.0,12217643.0,12449374.0,12677354.0,12903183.0,13130161.0,13360285.0,13583553.0,13815861.0,14054613.0,14295145.0
Finland,4675100.0,4698500.0,4720900.0,4741000.0,4761600.0,4781300.0,4802200.0,4823200.0,4844673.0,4864255.0,4881820.0,4898983.0,4915614.0,4929856.0,4944765.0,4961784.0,4979740.0,4998853.0,5020096.0,5042316.0,5063494.0,5085985.0,5110450.0,5135433.0,5159944.0
